"mapped_by","year","reporter_fao","reporter_name","flow","hs_chap","hs","hs_extend","fcl","details","tl_description"
"T",2000,136,"Mauritania",1,20,"2002190000",200219000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2002300000",200230000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2006100000",200610000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2006310000",200631000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2006390000",200639000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2007010000",200701000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2007090000",200709000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2007200000",200720000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,20,"2007500000",200750000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,2,"201040000",20104000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,2,"202000000",20200000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,21,"2103000000",210300000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,21,"2104900000",210490000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,21,"2105010000",210501000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,21,"2105090000",210509000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,21,"2105300000",210530000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2201020000",220102000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2201190000",220119000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2201200000",220120000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2201300000",220130000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2202000000",220200000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2203010000",220301000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,22,"2209230000",220923000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,23,"2306000100",230600010000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,23,"2306000200",230600020000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,24,"2402310000",240231000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,24,"2402390000",240239000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,24,"2402400000",240240000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,24,"2402700000",240270000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"402090000",40209000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"402390000",40239000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"402510100",40251010000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"402510200",40251020000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"402590000",40259000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"402900000",40290000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,4,"403200000",40320000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701090000",70109000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701150100",70115010000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701150200",70115020000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701200200",70120020000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
