"Year","hs","reporter","flow","QTY","hs6","HSLength"
2014,"040520000",112,1,227675,"040520",9
2014,"040590000",112,1,1168245,"040590",9
2014,"040610000",112,1,16000,"040610",9
2014,"040620000",112,1,163127,"040620",9
2014,"040630000",112,1,5661862,"040630",9
2014,"040640000",112,1,6730,"040640",9
2014,"040690100",112,1,1518808,"040690",9
2014,"040690900",112,1,18102677,"040690",9
2014,"040711000",112,1,406800,"040711",9
2014,"040719000",112,1,1512346,"040719",9
2014,"040721100",112,1,8000,"040721",9
2014,"040721900",112,1,0,"040721",9
2014,"040729900",112,1,0,"040729",9
2014,"040790100",112,1,0,"040790",9
2014,"040790900",112,1,0,"040790",9
2014,"040819000",112,1,1960,"040819",9
2014,"040891000",112,1,1443880,"040891",9
2014,"040899000",112,1,129040,"040899",9
2014,"040900200",112,1,1200,"040900",9
2014,"040900300",112,1,71612,"040900",9
2014,"040900900",112,1,1079871,"040900",9
2014,"041000000",112,1,3000,"041000",9
2014,"050400100",112,1,139430,"050400",9
2014,"050590000",112,1,3130,"050590",9
2014,"050800000",112,1,2440,"050800",9
2014,"051000000",112,1,12,"051000",9
2014,"051110000",112,1,876,"051110",9
2014,"051199900",112,1,1,"051199",9
2014,"060110000",112,1,91723,"060110",9
2014,"060120900",112,1,94707,"060120",9
2014,"060210000",112,1,20777,"060210",9
2014,"060220000",112,1,582112,"060220",9
2014,"060230200",112,1,18169,"060230",9
2014,"060230300",112,1,11722,"060230",9
2014,"060240100",112,1,8394,"060240",9
2014,"060290200",112,1,24556,"060290",9
2014,"060290300",112,1,3470263,"060290",9
2014,"060290400",112,1,89774,"060290",9
2014,"060290900",112,1,397157,"060290",9
2014,"060311000",112,1,34838,"060311",9
2014,"060313000",112,1,18006,"060313",9
2014,"060319000",112,1,66514,"060319",9
2014,"060390000",112,1,8489,"060390",9
2014,"060420000",112,1,9142,"060420",9
2014,"060490000",112,1,21182,"060490",9
2014,"070110000",112,1,13913890,"070110",9
2014,"070190000",112,1,57980918,"070190",9
2014,"070200000",112,1,0,"070200",9
2014,"070310200",112,1,709250,"070310",9
2014,"070310300",112,1,48080806,"070310",9
2014,"070320000",112,1,4731443,"070320",9
2014,"070410000",112,1,0,"070410",9
2014,"070490100",112,1,6760,"070490",9
2014,"070519000",112,1,10540,"070519",9
2014,"070610100",112,1,12466339,"070610",9
2014,"070610900",112,1,1738314,"070610",9
2014,"070690200",112,1,230523,"070690",9
2014,"070700100",112,1,0,"070700",9
2014,"070700300",112,1,0,"070700",9
2014,"070700900",112,1,0,"070700",9
2014,"070810000",112,1,174684,"070810",9
2014,"070820200",112,1,500,"070820",9
2014,"070890100",112,1,517284,"070890",9
2014,"070890200",112,1,29158,"070890",9
2014,"070920000",112,1,5721,"070920",9
2014,"070930000",112,1,24500,"070930",9
2014,"070959100",112,1,5774,"070959",9
2014,"070959900",112,1,86171,"070959",9
2014,"070960000",112,1,180639,"070960",9
2014,"070991000",112,1,10313,"070991",9
2014,"070992000",112,1,0,"070992",9
2014,"070993000",112,1,0,"070993",9
2014,"070999100",112,1,0,"070999",9
2014,"070999600",112,1,0,"070999",9
2014,"070999700",112,1,0,"070999",9
2014,"070999900",112,1,3282,"070999",9
2014,"071010000",112,1,257347,"071010",9
2014,"071021000",112,1,1765798,"071021",9
2014,"071022000",112,1,295306,"071022",9
2014,"071029000",112,1,90630,"071029",9
2014,"071030000",112,1,74128,"071030",9
2014,"071040000",112,1,784498,"071040",9
2014,"071080000",112,1,4124187,"071080",9
2014,"071090000",112,1,1454432,"071090",9
2014,"071190910",112,1,19280,"071190",9
2014,"071220200",112,1,71925,"071220",9
2014,"071220900",112,1,104857,"071220",9
2014,"071239100",112,1,2350,"071239",9
2014,"071239900",112,1,956,"071239",9
2014,"071290100",112,1,59386,"071290",9
2014,"071290200",112,1,42776,"071290",9
2014,"071290990",112,1,340317,"071290",9
2014,"071310100",112,1,559592,"071310",9
2014,"071310200",112,1,102135,"071310",9
2014,"071310900",112,1,903639,"071310",9
2014,"071320100",112,1,1896000,"071320",9
2014,"071320200",112,1,21600,"071320",9
2014,"071320900",112,1,32394347,"071320",9
2014,"071331000",112,1,88584,"071331",9
2014,"071333000",112,1,886270,"071333",9
2014,"071334000",112,1,203850,"071334",9
2014,"071335000",112,1,47000,"071335",9
2014,"071339000",112,1,1796557,"071339",9
2014,"071340100",112,1,38000,"071340",9
2014,"071340900",112,1,12425068,"071340",9
2014,"071350000",112,1,10666614,"071350",9
2014,"071390200",112,1,5500,"071390",9
2014,"071390910",112,1,37750,"071390",9
2014,"071390920",112,1,51150,"071390",9
2014,"071390990",112,1,2570,"071390",9
2014,"080111000",112,1,1899924,"080111",9
2014,"080112000",112,1,146360,"080112",9
2014,"080119000",112,1,217650,"080119",9
2014,"080121000",112,1,214,"080121",9
2014,"080131900",112,1,1388,"080131",9
2014,"080132000",112,1,666985,"080132",9
2014,"080211000",112,1,614533,"080211",9
2014,"080212000",112,1,2362264,"080212",9
2014,"080221000",112,1,36580,"080221",9
2014,"080222000",112,1,254028,"080222",9
2014,"080231000",112,1,131150,"080231",9
2014,"080232000",112,1,878857,"080232",9
2014,"080241000",112,1,1262263,"080241",9
2014,"080251000",112,1,265630,"080251",9
2014,"080252000",112,1,617660,"080252",9
2014,"080262000",112,1,2937,"080262",9
2014,"080290100",112,1,24310,"080290",9
2014,"080290900",112,1,2054,"080290",9
2014,"080310100",112,1,37751157,"080310",9
2014,"080390100",112,1,10009705,"080390",9
2014,"080390900",112,1,616,"080390",9
2014,"080410100",112,1,1047370,"080410",9
2014,"080410300",112,1,4443063,"080410",9
2014,"080410900",112,1,12044540,"080410",9
2014,"080420100",112,1,0,"080420",9
2014,"080420200",112,1,276680,"080420",9
2014,"080430100",112,1,1265508,"080430",9
2014,"080430200",112,1,646,"080430",9
2014,"080440000",112,1,651827,"080440",9
2014,"080450100",112,1,879657,"080450",9
2014,"080450900",112,1,1380585,"080450",9
2014,"080510000",112,1,50852389,"080510",9
2014,"080520000",112,1,2382418,"080520",9
2014,"080540000",112,1,1254351,"080540",9
2014,"080550000",112,1,10446830,"080550",9
2014,"080590000",112,1,3420761,"080590",9
2014,"080610000",112,1,1161280,"080610",9
2014,"080620000",112,1,931075,"080620",9
2014,"080711000",112,1,174100,"080711",9
2014,"080719000",112,1,1600,"080719",9
2014,"080810000",112,1,44208023,"080810",9
2014,"080830000",112,1,4384372,"080830",9
2014,"080840000",112,1,42614,"080840",9
2014,"080910000",112,1,2068,"080910",9
2014,"080921000",112,1,0,"080921",9
2014,"080929000",112,1,1813283,"080929",9
2014,"080930000",112,1,666917,"080930",9
2014,"080940000",112,1,291713,"080940",9
2014,"081010000",112,1,248071,"081010",9
2014,"081020000",112,1,1591,"081020",9
2014,"081050000",112,1,2267688,"081050",9
2014,"081070000",112,1,2185312,"081070",9
2014,"081090100",112,1,4497999,"081090",9
2014,"081090200",112,1,0,"081090",9
2014,"081090300",112,1,9834,"081090",9
2014,"081090900",112,1,456740,"081090",9
2014,"081110000",112,1,498894,"081110",9
2014,"081120000",112,1,45864,"081120",9
2014,"081190000",112,1,151429,"081190",9
2014,"081310000",112,1,155813,"081310",9
2014,"081320000",112,1,896,"081320",9
2014,"081330000",112,1,205,"081330",9
2014,"081340000",112,1,92545,"081340",9
2014,"081350000",112,1,3179,"081350",9
2014,"090111000",112,1,13225502,"090111",9
2014,"090112000",112,1,5833583,"090112",9
2014,"090121000",112,1,578790,"090121",9
2014,"090122000",112,1,210395,"090122",9
2014,"090190000",112,1,95331,"090190",9
2014,"090210000",112,1,42458,"090210",9
2014,"090220000",112,1,106861,"090220",9
2014,"090230000",112,1,498648,"090230",9
2014,"090240000",112,1,6038844,"090240",9
2014,"090300000",112,1,94892,"090300",9
2014,"090411000",112,1,176161,"090411",9
2014,"090412000",112,1,157248,"090412",9
2014,"090421000",112,1,27701,"090421",9
2014,"090422000",112,1,245513,"090422",9
2014,"090510000",112,1,439,"090510",9
2014,"090520000",112,1,7194,"090520",9
2014,"090611000",112,1,84500,"090611",9
2014,"090619000",112,1,562724,"090619",9
2014,"090620000",112,1,68699,"090620",9
2014,"090710000",112,1,84990,"090710",9
2014,"090811000",112,1,18760,"090811",9
2014,"090831000",112,1,1041709,"090831",9
2014,"090832000",112,1,17040,"090832",9
2014,"090921000",112,1,628554,"090921",9
2014,"090922000",112,1,107039,"090922",9
2014,"090931000",112,1,347316,"090931",9
2014,"090932000",112,1,111294,"090932",9
2014,"090961100",112,1,294063,"090961",9
2014,"090961900",112,1,240525,"090961",9
2014,"090962100",112,1,22877,"090962",9
2014,"090962900",112,1,36988,"090962",9
2014,"091011000",112,1,732083,"091011",9
2014,"091012000",112,1,15590,"091012",9
2014,"091020000",112,1,315,"091020",9
2014,"091030000",112,1,244056,"091030",9
2014,"091091100",112,1,155570,"091091",9
2014,"091091900",112,1,80696,"091091",9
2014,"091099100",112,1,1232926,"091099",9
2014,"091099900",112,1,612719,"091099",9
2014,"100111000",112,1,500,"100111",9
2014,"100119000",112,1,1307196163,"100119",9
2014,"100390000",112,1,989541365,"100390",9
2014,"100490000",112,1,52839,"100490",9
2014,"100510000",112,1,24465,"100510",9
2014,"100590000",112,1,672870440,"100590",9
2014,"100610000",112,1,0,"100610",9
2014,"100620000",112,1,106462,"100620",9
2014,"100630000",112,1,196056357,"100630",9
2014,"100710000",112,1,25000,"100710",9
2014,"100790000",112,1,501500,"100790",9
2014,"100810000",112,1,2349,"100810",9
2014,"100829000",112,1,1398722,"100829",9
2014,"100830000",112,1,1040162,"100830",9
2014,"100850000",112,1,23175,"100850",9
2014,"100890000",112,1,91851,"100890",9
2014,"110100000",112,1,4987513,"110100",9
2014,"110220000",112,1,1831183,"110220",9
2014,"110290000",112,1,172524,"110290",9
2014,"110311000",112,1,2171261,"110311",9
2014,"110313000",112,1,15965800,"110313",9
2014,"110319000",112,1,64226,"110319",9
2014,"110320000",112,1,0,"110320",9
2014,"110412000",112,1,122143,"110412",9
2014,"110419900",112,1,1500,"110419",9
2014,"110422000",112,1,26060,"110422",9
2014,"110423000",112,1,3355,"110423",9
2014,"110429000",112,1,19500,"110429",9
2014,"110430000",112,1,121,"110430",9
2014,"110510000",112,1,1395349,"110510",9
2014,"110520000",112,1,439979,"110520",9
2014,"110630900",112,1,9528,"110630",9
2014,"110710000",112,1,59000,"110710",9
2014,"110720000",112,1,1330092,"110720",9
2014,"110811100",112,1,4000,"110811",9
2014,"110812200",112,1,4481065,"110812",9
2014,"110812900",112,1,5428712,"110812",9
2014,"110813000",112,1,4123615,"110813",9
2014,"110814000",112,1,38000,"110814",9
2014,"110819200",112,1,121341,"110819",9
2014,"110819900",112,1,49275,"110819",9
2014,"110820000",112,1,1000,"110820",9
2014,"110900000",112,1,198068,"110900",9
2014,"120190000",112,1,144042,"120190",9
2014,"120230900",112,1,64500,"120230",9
2014,"120241100",112,1,154890,"120241",9
2014,"120241900",112,1,996709,"120241",9
2014,"120242100",112,1,3050520,"120242",9
2014,"120242900",112,1,4959542,"120242",9
2014,"120400000",112,1,40782,"120400",9
2014,"120590000",112,1,10000,"120590",9
2014,"120600000",112,1,4866720,"120600",9
2014,"120721000",112,1,90048,"120721",9
2014,"120729000",112,1,553330,"120729",9
2014,"120740000",112,1,26491401,"120740",9
2014,"120750900",112,1,42150,"120750",9
2014,"120760000",112,1,7000,"120760",9
2014,"120770000",112,1,5288825,"120770",9
2014,"120799000",112,1,159844,"120799",9
2014,"120810000",112,1,272770,"120810",9
2014,"120921000",112,1,54677,"120921",9
2014,"120923000",112,1,2160,"120923",9
2014,"120924000",112,1,1757,"120924",9
2014,"120929100",112,1,1280484,"120929",9
2014,"120929900",112,1,1341613,"120929",9
2014,"120930000",112,1,2510,"120930",9
2014,"120991000",112,1,443833,"120991",9
2014,"120999000",112,1,56337,"120999",9
2014,"121020000",112,1,160,"121020",9
2014,"121190100",112,1,78635,"121190",9
2014,"121190910",112,1,277983,"121190",9
2014,"121190920",112,1,333,"121190",9
2014,"121190990",112,1,1189230,"121190",9
2014,"121221000",112,1,1366,"121221",9
2014,"121229000",112,1,11452,"121229",9
2014,"121291000",112,1,14072,"121291",9
2014,"121292000",112,1,109010,"121292",9
2014,"121299100",112,1,44520,"121299",9
2014,"121299200",112,1,1925749,"121299",9
2014,"121299900",112,1,23770,"121299",9
2014,"121300000",112,1,30492972,"121300",9
2014,"121410000",112,1,24922630,"121410",9
2014,"121490000",112,1,14263338,"121490",9
2014,"130120100",112,1,24600,"130120",9
2014,"130120900",112,1,13930,"130120",9
2014,"130190100",112,1,25,"130190",9
2014,"130190900",112,1,3050,"130190",9
2014,"130213000",112,1,5943,"130213",9
2014,"130219900",112,1,19760,"130219",9
2014,"130220000",112,1,29095,"130220",9
2014,"130231000",112,1,1820,"130231",9
2014,"130232000",112,1,76800,"130232",9
2014,"130239000",112,1,113592,"130239",9
2014,"140110000",112,1,56700,"140110",9
2014,"140120000",112,1,92755,"140120",9
2014,"140490200",112,1,100,"140490",9
2014,"140490400",112,1,50,"140490",9
2014,"140490900",112,1,221884,"140490",9
2014,"150290000",112,1,513891,"150290",9
2014,"150300000",112,1,19700,"150300",9
2014,"150410000",112,1,100,"150410",9
2014,"150420000",112,1,16019,"150420",9
2014,"150500000",112,1,5926,"150500",9
2014,"150710000",112,1,14665282,"150710",9
2014,"150790100",112,1,7700280,"150790",9
2014,"150790900",112,1,9399645,"150790",9
2014,"150890000",112,1,94983,"150890",9
2014,"150910000",112,1,4502,"150910",9
2014,"150990000",112,1,0,"150990",9
2014,"151000000",112,1,950,"151000",9
2014,"151110000",112,1,1005064,"151110",9
2014,"151190200",112,1,25926543,"151190",9
2014,"151190900",112,1,17820230,"151190",9
2014,"151211000",112,1,6915203,"151211",9
2014,"151219100",112,1,14922486,"151219",9
2014,"151219900",112,1,18390925,"151219",9
2014,"151229000",112,1,400,"151229",9
2014,"151311000",112,1,16000,"151311",9
2014,"151319100",112,1,178444,"151319",9
2014,"151319900",112,1,38232,"151319",9
2014,"151329100",112,1,1635113,"151329",9
2014,"151419100",112,1,1045680,"151419",9
2014,"151491000",112,1,11484,"151491",9
2014,"151519100",112,1,4675,"151519",9
2014,"151519900",112,1,0,"151519",9
2014,"151521000",112,1,3177348,"151521",9
2014,"151529200",112,1,1976020,"151529",9
2014,"151529900",112,1,14071719,"151529",9
2014,"151530100",112,1,92800,"151530",9
2014,"151530900",112,1,95225,"151530",9
2014,"151550000",112,1,31263,"151550",9
2014,"151590210",112,1,156,"151590",9
2014,"151590290",112,1,585,"151590",9
2014,"151590300",112,1,8501,"151590",9
2014,"151590900",112,1,65605,"151590",9
2014,"151620600",112,1,6740481,"151620",9
2014,"151620900",112,1,1630924,"151620",9
2014,"151710100",112,1,1338720,"151710",9
2014,"151710900",112,1,1471781,"151710",9
2014,"151790200",112,1,2680798,"151790",9
2014,"151790300",112,1,2611950,"151790",9
2014,"151790900",112,1,873546,"151790",9
2014,"151800000",112,1,374561,"151800",9
2014,"152000100",112,1,21055,"152000",9
2014,"152000900",112,1,0,"152000",9
2014,"152110000",112,1,3125,"152110",9
2014,"152190100",112,1,10760,"152190",9
2014,"152200000",112,1,62910,"152200",9
2014,"160100000",112,1,1349632,"160100",9
2014,"160210000",112,1,540256,"160210",9
2014,"160220000",112,1,414,"160220",9
2014,"160231000",112,1,126848,"160231",9
2014,"160232100",112,1,0,"160232",9
2014,"160232900",112,1,1660042,"160232",9
2014,"160239000",112,1,36878,"160239",9
2014,"160241000",112,1,33783,"160241",9
2014,"160242000",112,1,12723,"160242",9
2014,"160249000",112,1,13264,"160249",9
2014,"160250000",112,1,3324119,"160250",9
2014,"160290000",112,1,568216,"160290",9
2014,"160411000",112,1,1310,"160411",9
2014,"160412000",112,1,2462,"160412",9
2014,"160413000",112,1,2848833,"160413",9
2014,"160414000",112,1,10963309,"160414",9
2014,"160415000",112,1,58450,"160415",9
2014,"160416000",112,1,4393,"160416",9
2014,"160419000",112,1,15838,"160419",9
2014,"160420100",112,1,2359,"160420",9
2014,"160420900",112,1,72771,"160420",9
2014,"160431000",112,1,853,"160431",9
2014,"160432000",112,1,719,"160432",9
2014,"160510000",112,1,180,"160510",9
2014,"160529000",112,1,35679,"160529",9
2014,"160540000",112,1,250,"160540",9
2014,"160552000",112,1,1449,"160552",9
2014,"160553000",112,1,5507,"160553",9
2014,"160554000",112,1,13812,"160554",9
2014,"160555000",112,1,1118,"160555",9
2014,"160559000",112,1,1220,"160559",9
2014,"160569000",112,1,500,"160569",9
2014,"170112000",112,1,4432403,"170112",9
2014,"170114000",112,1,5839,"170114",9
