"hs2012_code","ex_code","faostat_code","faostat_name","unit"
"020711",NA,1058,"MEAT OF CHICKENS","MT"
"020712",NA,1058,"MEAT OF CHICKENS","MT"
"020713",NA,1058,"MEAT OF CHICKENS","MT"
"020713",NA,1059,"OFFALS LIVER CHICKEN","MT"
"020714",NA,1058,"MEAT OF CHICKENS","MT"
"020714",NA,1059,"OFFALS LIVER CHICKEN","MT"
"020724",NA,1080,"MEAT OF TURKEYS","MT"
"020725",NA,1080,"MEAT OF TURKEYS","MT"
"020726",NA,1080,"MEAT OF TURKEYS","MT"
"020726",NA,1081,"OFFALS LIVER TURKEY","MT"
"020727",NA,1080,"MEAT OF TURKEYS","MT"
"020727",NA,1081,"OFFALS LIVER TURKEY","MT"
"020741",NA,1069,"MEAT OF DUCKS","MT"
"020742",NA,1069,"MEAT OF DUCKS","MT"
"020743",NA,1075,"OFFALS LIVER DUCK","MT"
"020744",NA,1069,"MEAT OF DUCKS","MT"
"020744",NA,1075,"OFFALS LIVER DUCK","MT"
"020745",NA,1069,"MEAT OF DUCKS","MT"
"020745",NA,1075,"OFFALS LIVER DUCK",NA
"020751",NA,1073,"MEAT OF GEESE","MT"
"020752",NA,1073,"MEAT OF GEESE","MT"
"020753",NA,1074,"OFFALS LIVER GEESE","MT"
"020754",NA,1073,"MEAT OF GEESE","MT"
"020754",NA,1074,"OFFALS LIVER GEESE","MT"
"020755",NA,1073,"MEAT OF GEESE","MT"
"020755",NA,1074,"OFFALS LIVER GEESE","MT"
"020760",NA,1058,"MEAT OF CHICKENS",NA
"020810",NA,1141,"MEAT OF RABBITS","MT"
"020810",NA,1163,"MEAT OF GAME","MT"
"020810",NA,1167,"OFFALS nes","MT"
"020830",NA,1163,"MEAT OF GAME","MT"
"020830",NA,1166,"MEAT NES","MT"
"020830",NA,1167,"OFFALS nes","MT"
"020840",NA,1166,"MEAT NES","MT"
"020840",NA,1167,"OFFALS nes","MT"
"020850",NA,1166,"MEAT NES","MT"
"020850",NA,1167,"OFFALS nes","MT"
"020860",NA,1127,"MEAT OF CAMELS","MT"
"020860",NA,1128,"OFFALS OF CAMELS,EDIBLE","MT"
"020860",NA,1158,"MEAT OTH CAMELIDS","MT"
"020860",NA,1159,"OFFALS OTHER CAMELIDS","MT"
"020890",NA,1089,"PIGEON MEAT OTHER BIRDS","MT"
"020890",NA,1151,"MEAT OF other domestic rodents","MT"
"020890",NA,1163,"MEAT OF GAME","MT"
"020890",NA,1166,"MEAT NES","MT"
"020890",NA,1167,"OFFALS nes","MT"
"020910",NA,1037,"FAT OF PIGS","MT"
"020910",NA,1040,"PIG BUTCHER FAT","MT"
"020990",NA,1065,"FAT OF POULTRY","MT"
"021011",NA,1039,"BACON AND HAM","MT"
"021012",NA,1039,"BACON AND HAM","MT"
"021019",NA,1039,"BACON AND HAM","MT"
"021020",NA,872,"MEAT OF BEEF,DRD, SLTD,SMKD","MT"
"021091",NA,1164,"MEAT DRIED NES","MT"
"021092",NA,1164,"MEAT DRIED NES","MT"
"021093",NA,1164,"MEAT DRIED NES","MT"
"021099",NA,1164,"MEAT DRIED NES","MT"
"030760",NA,1176,"SNAILS, NOT SEA SNAILS","MT"
"040110",NA,888,"MILK SKM OF COWS","MT"
"040110",NA,954,"MILK SKIM OF BUF","MT"
"040110",NA,985,"MILK SKMD SHEEP","MT"
"040110",NA,1023,"MILK SKIMD GOATS","MT"
"040120",NA,882,"MILK OF COW WHOLE, FRESH","MT"
"040120",NA,883,"STANDARDIZED MILK","MT"
"040120",NA,908,"RECONSTI.TED MILK","MT"
"040120",NA,951,"MILK OF BUFFALOES","MT"
"040120",NA,982,"MILK OF SHEEP","MT"
"040120",NA,1020,"MILK OF GOATS","MT"
"040120",NA,1130,"MILK OF CAMEL","MT"
"040140",NA,882,"MILK OF COW WHOLE, FRESH","MT"
"040140",NA,883,"STANDARDIZED MILK","MT"
"040140",NA,885,"CREAM FRESH","MT"
"040140",NA,951,"MILK OF BUFFALOES","MT"
"040140",NA,982,"MILK OF SHEEP","MT"
"040140",NA,1020,"MILK OF GOATS","MT"
"040140",NA,1130,"MILK OF CAMEL","MT"
"040150",NA,882,"MILK OF COW WHOLE, FRESH","MT"
"040150",NA,883,"STANDARDIZED MILK","MT"
"040150",NA,885,"CREAM FRESH","MT"
"040150",NA,951,"MILK OF BUFFALOES","MT"
"040150",NA,982,"MILK OF SHEEP","MT"
"040150",NA,1020,"MILK OF GOATS","MT"
