hs2012_code,ex_code,faostat_code,faostat_name,unit
20754,,1074,OFFALS LIVER GEESE,MT
20755,,1073,MEAT OF GEESE,MT
20755,,1074,OFFALS LIVER GEESE,MT
20760,,1058,MEAT OF CHICKENS,
20810,,1141,MEAT OF RABBITS,MT
20810,,1163,MEAT OF GAME,MT
20810,,1167,OFFALS nes,MT
20830,,1163,MEAT OF GAME,MT
20830,,1166,MEAT NES,MT
20830,,1167,OFFALS nes,MT
20840,,1166,MEAT NES,MT
20840,,1167,OFFALS nes,MT
20850,,1166,MEAT NES,MT
20850,,1167,OFFALS nes,MT
20860,,1127,MEAT OF CAMELS,MT
20860,,1128,"OFFALS OF CAMELS,EDIBLE",MT
20860,,1158,MEAT OTH CAMELIDS,MT
20860,,1159,OFFALS OTHER CAMELIDS,MT
20890,,1089,PIGEON MEAT OTHER BIRDS,MT
20890,,1151,MEAT OF other domestic rodents,MT
20890,,1163,MEAT OF GAME,MT
20890,,1166,MEAT NES,MT
20890,,1167,OFFALS nes,MT
20910,,1037,FAT OF PIGS,MT
20910,,1040,PIG BUTCHER FAT,MT
20990,,1065,FAT OF POULTRY,MT
21011,,1039,BACON AND HAM,MT
21012,,1039,BACON AND HAM,MT
21019,,1039,BACON AND HAM,MT
21020,,872,"MEAT OF BEEF,DRD, SLTD,SMKD",MT
21091,,1164,MEAT DRIED NES,MT
21092,,1164,MEAT DRIED NES,MT
21093,,1164,MEAT DRIED NES,MT
21099,,1164,MEAT DRIED NES,MT
30760,,1176,"SNAILS, NOT SEA SNAILS",MT
40110,,888,MILK SKM OF COWS,MT
40110,,954,MILK SKIM OF BUF,MT
40110,,985,MILK SKMD SHEEP,MT
40110,,1023,MILK SKIMD GOATS,MT
40120,,882,"MILK OF COW WHOLE, FRESH",MT
40120,,883,STANDARDIZED MILK,MT
40120,,908,RECONSTI.TED MILK,MT
40120,,951,MILK OF BUFFALOES,MT
40120,,982,MILK OF SHEEP,MT
40120,,1020,MILK OF GOATS,MT
40120,,1130,MILK OF CAMEL,MT
40140,,882,"MILK OF COW WHOLE, FRESH",MT
40140,,883,STANDARDIZED MILK,MT
40140,,885,CREAM FRESH,MT
40140,,951,MILK OF BUFFALOES,MT
40140,,982,MILK OF SHEEP,MT
40140,,1020,MILK OF GOATS,MT
40140,,1130,MILK OF CAMEL,MT
40150,,882,"MILK OF COW WHOLE, FRESH",MT
40150,,883,STANDARDIZED MILK,MT
40150,,885,CREAM FRESH,MT
40150,,951,MILK OF BUFFALOES,MT
40150,,982,MILK OF SHEEP,MT
40150,,1020,MILK OF GOATS,MT
40150,,1130,MILK OF CAMEL,MT
40210,,898,MILK SKIMMED DRY,MT
40221,,897,MILK WHOLE DRIED,MT
40229,,897,MILK WHOLE DRIED,MT
40291,,894,MILK WHOLE EVP,MT
40291,,895,MILK SKIMMED EVP,MT
40299,,889,MILK WHOLE COND,MT
40299,,896,MILK SKIMMED COND,MT
40310,,891,YOGHURT,MT
40310,,892,yogh conc.or not,MT
40390,,893,"butterm.,curdl, acid.milk",MT
40390,,899,MILKDRY BUTTRMILK,MT
40410,,890,WHEY CONDENSED,MT
40410,,900,WHEY DRY,MT
40410,,903,WHEY FRESH,MT
40490,,909,prod.of nat.milk constit,MT
40510,,886,BUTTER COW MILK,MT
40510,,952,BUTTER OF BUFMILK,MT
40510,,983,"BUTTER,GHEE OF SHEEP MILK",MT
40510,,1022,BUTTER OF GOAT MLK,MT
40520,,886,BUTTER COW MILK,MT
40520,,952,BUTTER OF BUFMILK,MT
40520,,983,"BUTTER,GHEE OF SHEEP MILK",MT
40520,,1022,BUTTER OF GOAT MLK,MT
40590,,887,"GHEE,BUTTEROIL OF COW MILK",MT
40590,,953,GHEE OIL OF BUF,MT
40590,,1022,BUTTER OF GOAT MLK,MT
40610,,901,CHEESE OF WHOLE COW MILK,MT
40610,,904,CHEESE OF SKIMMED COW MILK,MT
40610,,905,WHEY CHEESE,MT
40610,,955,CHEESE OF BUFMILK,MT
40610,,984,CHEESE OF SHMILK,MT
40610,,1021,CHEESE OF GOAT MLK,MT
40620,,901,CHEESE OF WHOLE COW MILK,MT
40630,,907,PROCESSED CHEESE,MT
40640,,901,CHEESE OF WHOLE COW MILK,MT
40690,,901,CHEESE OF WHOLE COW MILK,MT
40711,,1062,HEN EGGS,MT
40719,,1091,EGGS EXCL HENEGGS,MT
40721,,1062,HEN EGGS,MT
40729,,1091,EGGS EXCL HENEGGS,MT
40790,,1062,HEN EGGS,MT
40790,,1091,EGGS EXCL HENEGGS,MT
40811,,1064,EGGS DRIED,MT
40819,,1063,EGGS LIQUID,MT
40891,,1064,EGGS DRIED,MT
40899,,1063,EGGS LIQUID,MT
40900,,1182,HONEY NATURAL,MT
41000,,1232,FOOD PREP NES,Mt
50100,,1293,CRUDE MATERIALS,$ VALUE only
50210,,1293,CRUDE MATERIALS,$ VALUE only
50290,,1293,CRUDE MATERIALS,$ VALUE only
50400,,1293,CRUDE MATERIALS,$ VALUE only
50510,,1293,CRUDE MATERIALS,$ VALUE only
50590,,1293,CRUDE MATERIALS,$ VALUE only
50610,,1293,CRUDE MATERIALS,$ VALUE only
50690,,1293,CRUDE MATERIALS,$ VALUE only
50710,,1293,CRUDE MATERIALS,$ VALUE only
50790,,1293,CRUDE MATERIALS,$ VALUE only
50800,,1293,CRUDE MATERIALS,$ VALUE only
51000,,1293,CRUDE MATERIALS,$ VALUE only
51110,,1293,CRUDE MATERIALS,$ VALUE only
51191,,1293,CRUDE MATERIALS,$ VALUE only
51199,,1293,CRUDE MATERIALS,$ VALUE only
60110,,1293,CRUDE MATERIALS,$ VALUE only
60120,,1293,CRUDE MATERIALS,$ VALUE only
60210,,1293,CRUDE MATERIALS,$ VALUE only
60220,,1293,CRUDE MATERIALS,$ VALUE only
60230,,1293,CRUDE MATERIALS,$ VALUE only
60240,,1293,CRUDE MATERIALS,$ VALUE only
60290,,1293,CRUDE MATERIALS,$ VALUE only
60311,,1293,CRUDE MATERIALS,$ VALUE only
60312,,1293,CRUDE MATERIALS,$ VALUE only
60313,,1293,CRUDE MATERIALS,$ VALUE only
60314,,1293,CRUDE MATERIALS,$ VALUE only
60315,,1293,CRUDE MATERIALS,$ VALUE only
60319,,1293,CRUDE MATERIALS,$ VALUE only
60390,,1293,CRUDE MATERIALS,$ VALUE only
60420,,1293,CRUDE MATERIALS,$ VALUE only
60490,,1293,CRUDE MATERIALS,$ VALUE only
70110,,116,POTATOES,MT
70190,,116,POTATOES,MT
70200,,388,TOMATOES FRESH,MT
70310,,402,ONIONS; SHALLOTS GREEN,MT
70310,,403,ONIONS DRY,MT
70320,,406,GARLIC,MT
70390,,407,LEEKS AND OTHER ALLIACEOUS VEGETABLES,MT
70410,,393,CAULIFLOWER,MT
70420,,358,CABBAGES,MT
70490,,358,CABBAGES,MT
70511,,372,LETTUCE,MT
70519,,372,LETTUCE,MT
70521,,372,LETTUCE,MT
