"reporter","flow","hs6","fcl","Year"
141,1,30240,1599,2000
141,1,30241,1599,2000
141,1,30242,1599,2000
141,1,30243,1599,2000
141,1,30244,1599,2000
141,1,30245,1599,2000
141,1,30246,1599,2000
141,1,30247,1599,2000
141,1,30248,1599,2000
141,1,30249,1599,2000
141,1,30250,1599,2000
141,1,30251,1599,2000
141,1,30252,1599,2000
141,1,30253,1599,2000
141,1,30254,1599,2000
141,1,30255,1599,2000
141,1,30256,1599,2000
141,1,30257,1599,2000
141,1,30258,1599,2000
141,1,30259,1599,2000
141,1,30260,1599,2000
141,1,30261,1599,2000
141,1,30262,1599,2000
141,1,30263,1599,2000
141,1,30264,1599,2000
141,1,30265,1599,2000
141,1,30266,1599,2000
141,1,30267,1599,2000
141,1,30268,1599,2000
141,1,30269,1599,2000
141,1,30270,1599,2000
141,1,30271,1599,2000
141,1,30272,1599,2000
141,1,30273,1599,2000
141,1,30274,1599,2000
141,1,30275,1599,2000
141,1,30276,1599,2000
141,1,30277,1599,2000
141,1,30278,1599,2000
141,1,30279,1599,2000
141,1,30280,1599,2000
141,1,30281,1599,2000
141,1,30282,1599,2000
141,1,30283,1599,2000
141,1,30284,1599,2000
141,1,30285,1599,2000
141,1,30286,1599,2000
141,1,30287,1599,2000
141,1,30288,1599,2000
141,1,30289,1599,2000
141,1,30290,1599,2000
141,1,30291,1599,2000
141,1,30292,1599,2000
141,1,30293,1599,2000
141,1,30294,1599,2000
141,1,30295,1599,2000
141,1,30296,1599,2000
141,1,30297,1599,2000
141,1,30298,1599,2000
141,1,30299,1599,2000
141,1,30300,1599,2000
141,1,30301,1599,2000
141,1,30302,1599,2000
141,1,30303,1599,2000
141,1,30304,1599,2000
141,1,30305,1599,2000
141,1,30306,1599,2000
141,1,30307,1599,2000
141,1,30308,1599,2000
141,1,30309,1599,2000
141,1,30310,1599,2000
141,1,30311,1599,2000
141,1,30312,1599,2000
141,1,30313,1599,2000
141,1,30314,1599,2000
141,1,30315,1599,2000
141,1,30316,1599,2000
141,1,30317,1599,2000
141,1,30318,1599,2000
141,1,30319,1599,2000
141,1,30320,1599,2000
141,1,30321,1599,2000
141,1,30322,1599,2000
141,1,30323,1599,2000
141,1,30324,1599,2000
141,1,30325,1599,2000
141,1,30326,1599,2000
141,1,30327,1599,2000
141,1,30328,1599,2000
141,1,30329,1599,2000
141,1,30330,1599,2000
141,1,30331,1599,2000
141,1,30332,1599,2000
141,1,30333,1599,2000
141,1,30334,1599,2000
141,1,30335,1599,2000
141,1,30336,1599,2000
141,1,30337,1599,2000
141,1,30338,1599,2000
141,1,30339,1599,2000
141,1,30340,1599,2000
141,1,30341,1599,2000
141,1,30342,1599,2000
141,1,30343,1599,2000
141,1,30344,1599,2000
141,1,30345,1599,2000
141,1,30346,1599,2000
141,1,30347,1599,2000
141,1,30348,1599,2000
141,1,30349,1599,2000
141,1,30350,1599,2000
141,1,30351,1599,2000
141,1,30352,1599,2000
141,1,30353,1599,2000
141,1,30354,1599,2000
141,1,30355,1599,2000
141,1,30356,1599,2000
141,1,30357,1599,2000
141,1,30358,1599,2000
141,1,30359,1599,2000
141,1,30360,1599,2000
141,1,30361,1599,2000
141,1,30362,1599,2000
141,1,30363,1599,2000
141,1,30364,1599,2000
141,1,30365,1599,2000
141,1,30366,1599,2000
141,1,30367,1599,2000
141,1,30368,1599,2000
141,1,30369,1599,2000
141,1,30370,1599,2000
141,1,30371,1599,2000
141,1,30372,1599,2000
141,1,30373,1599,2000
141,1,30374,1599,2000
141,1,30375,1599,2000
141,1,30376,1599,2000
141,1,30377,1599,2000
141,1,30378,1599,2000
141,1,30379,1599,2000
141,1,30380,1599,2000
141,1,30381,1599,2000
141,1,30382,1599,2000
141,1,30383,1599,2000
141,1,30384,1599,2000
141,1,30385,1599,2000
141,1,30386,1599,2000
141,1,30387,1599,2000
141,1,30388,1599,2000
141,1,30389,1599,2000
141,1,30390,1599,2000
141,1,30391,1599,2000
141,1,30392,1599,2000
141,1,30393,1599,2000
141,1,30394,1599,2000
141,1,30395,1599,2000
141,1,30396,1599,2000
141,1,30397,1599,2000
141,1,30398,1599,2000
141,1,30399,1599,2000
141,1,30400,1599,2000
141,1,30401,1599,2000
141,1,30402,1599,2000
141,1,30403,1599,2000
141,1,30404,1599,2000
141,1,30405,1599,2000
141,1,30406,1599,2000
141,1,30407,1599,2000
141,1,30408,1599,2000
141,1,30409,1599,2000
141,1,30410,1599,2000
141,1,30411,1599,2000
141,1,30412,1599,2000
141,1,30413,1599,2000
141,1,30414,1599,2000
141,1,30415,1599,2000
141,1,30416,1599,2000
141,1,30417,1599,2000
141,1,30418,1599,2000
141,1,30419,1599,2000
141,1,30420,1599,2000
141,1,30421,1599,2000
141,1,30422,1599,2000
141,1,30423,1599,2000
141,1,30424,1599,2000
141,1,30425,1599,2000
141,1,30426,1599,2000
141,1,30427,1599,2000
141,1,30428,1599,2000
141,1,30429,1599,2000
141,1,30430,1599,2000
141,1,30431,1599,2000
141,1,30432,1599,2000
141,1,30433,1599,2000
141,1,30434,1599,2000
141,1,30435,1599,2000
141,1,30436,1599,2000
141,1,30437,1599,2000
141,1,30438,1599,2000
141,1,30439,1599,2000
141,1,30440,1599,2000
141,1,30441,1599,2000
141,1,30442,1599,2000
141,1,30443,1599,2000
141,1,30444,1599,2000
141,1,30445,1599,2000
141,1,30446,1599,2000
141,1,30447,1599,2000
141,1,30448,1599,2000
141,1,30449,1599,2000
141,1,30450,1599,2000
141,1,30451,1599,2000
141,1,30452,1599,2000
141,1,30453,1599,2000
141,1,30454,1599,2000
141,1,30455,1599,2000
141,1,30456,1599,2000
141,1,30457,1599,2000
141,1,30458,1599,2000
141,1,30459,1599,2000
141,1,30460,1599,2000
141,1,30461,1599,2000
141,1,30462,1599,2000
141,1,30463,1599,2000
141,1,30464,1599,2000
141,1,30465,1599,2000
141,1,30466,1599,2000
141,1,30467,1599,2000
141,1,30468,1599,2000
141,1,30469,1599,2000
141,1,30470,1599,2000
141,1,30471,1599,2000
141,1,30472,1599,2000
141,1,30473,1599,2000
141,1,30474,1599,2000
141,1,30475,1599,2000
141,1,30476,1599,2000
141,1,30477,1599,2000
141,1,30478,1599,2000
141,1,30479,1599,2000
141,1,30480,1599,2000
141,1,30481,1599,2000
141,1,30482,1599,2000
141,1,30483,1599,2000
141,1,30484,1599,2000
141,1,30485,1599,2000
141,1,30486,1599,2000
141,1,30487,1599,2000
141,1,30488,1599,2000
141,1,30489,1599,2000
141,1,30490,1599,2000
141,1,30491,1599,2000
141,1,30492,1599,2000
141,1,30493,1599,2000
141,1,30494,1599,2000
141,1,30495,1599,2000
141,1,30496,1599,2000
141,1,30497,1599,2000
141,1,30498,1599,2000
141,1,30499,1599,2000
141,1,30500,1599,2000
141,1,30501,1599,2000
141,1,30502,1599,2000
141,1,30503,1599,2000
141,1,30504,1599,2000
141,1,30505,1599,2000
141,1,30506,1599,2000
141,1,30507,1599,2000
141,1,30508,1599,2000
141,1,30509,1599,2000
141,1,30510,1599,2000
141,1,30511,1599,2000
141,1,30512,1599,2000
141,1,30513,1599,2000
141,1,30514,1599,2000
141,1,30515,1599,2000
141,1,30516,1599,2000
141,1,30517,1599,2000
141,1,30518,1599,2000
141,1,30519,1599,2000
141,1,30520,1599,2000
141,1,30521,1599,2000
141,1,30522,1599,2000
141,1,30523,1599,2000
141,1,30524,1599,2000
141,1,30525,1599,2000
141,1,30526,1599,2000
141,1,30527,1599,2000
141,1,30528,1599,2000
141,1,30529,1599,2000
141,1,30530,1599,2000
141,1,30531,1599,2000
141,1,30532,1599,2000
141,1,30533,1599,2000
141,1,30534,1599,2000
141,1,30535,1599,2000
141,1,30536,1599,2000
141,1,30537,1599,2000
141,1,30538,1599,2000
141,1,30539,1599,2000
141,1,30540,1599,2000
141,1,30541,1599,2000
