"","code","description"
"246","86","Br Ind Oc Tr"
"247","76","Brazil"
"248","74","Bouvet Is"
"249","72","Botswana"
"250","70","Bosnia and Herzegovina"
"251","68","Bolivia (Plurinational State of)"
"252","64","Bhutan"
"253","60","Bermuda"
"254","204","Benin"
"255","58","Bel-Lux(-1999)"
"256","84","Belize"
"257","56","Belgium"
"258","112","Belarus"
"259","52","Barbados"
"260","50","Bangladesh"
"261","48","Bahrain"
"262","44","Bahamas"
"263","31","Azerbaijan"
"264","40","Austria"
"265","36","Australia"
"266","531","Curaçao"
"267","533","Aruba"
"268","51","Armenia"
"269","32","Argentina"
"270","28","Antigua and Barbuda"
"271","10","Antarctica"
"272","660","Anguilla"
"273","24","Angola"
"274","20","Andorra"
"275","16","American Samoa"
"276","12","Algeria"
"277","8","Albania"
"278","535.01","Bonaire"
"279","4","Afghanistan"
