"id1","id2","id3","id4","item_sua_fbs"
"2901","2903","2914","2586","21691.03"
"2901","2903","2914","2586","21691.04"
"2901","2903","2914","2586","21691.05"
"2901","2903","2914","2586","21691.06"
"2901","2903","2914","2586","21631.02"
"2901","2903","2914","2586","21691.08"
"2901","2903","2914","2586","21691.09"
"2901","2903","2914","2586","21691.10"
"2901","2903","2914","2586","21691.11"
"2901","2903","2914","2586","21691.12"
"2901","2903","2914","2586","21691.13"
"2901","2903","2914","2586","21691.90"
"2901","2903","2914","2586","23620"
"2901","2903","2914","2586","21700.01"
"2901","2903","2914","2586","21700.02"
"2901","2903","2914","2586","21693.02"
"2901","2903","2914","2586","34550"
"2901","2903","2914","2586","F1275"
"2901","2903","2918","2601","01234"
"2901","2903","2918","2601","21321"
"2901","2903","2918","2601","21399.01"
"2901","2903","2918","2601","21399.02"
"2901","2903","2918","2602","01253.02"
"2901","2903","2918","2605","01212"
"2901","2903","2918","2605","01216"
"2901","2903","2918","2605","01211"
"2901","2903","2918","2605","01214"
"2901","2903","2918","2605","01215"
"2901","2903","2918","2605","01219.01"
"2901","2903","2918","2605","01213"
"2901","2903","2918","2605","01235"
"2901","2903","2918","2605","01232"
"2901","2903","2918","2605","01233"
"2901","2903","2918","2605","01231"
"2901","2903","2918","2605","01253.01"
"2901","2903","2918","2605","01252"
"2901","2903","2918","2605","01254"
"2901","2903","2918","2605","01241.90"
"2901","2903","2918","2605","01242"
"2901","2903","2918","2605","01243"
"2901","2903","2918","2605","01241.01"
"2901","2903","2918","2605","01251"
"2901","2903","2918","2605","01239.01"
"2901","2903","2918","2605","01290.01"
"2901","2903","2918","2605","21319.01"
"2901","2903","2918","2605","21399.03"
"2901","2903","2918","2605","01270"
"2901","2903","2918","2605","21393.01"
"2901","2903","2918","2605","21397.01"
"2901","2903","2918","2605","01691"
"2901","2903","2918","2605","01356"
"2901","2903","2918","2605","01290.90"
"2901","2903","2918","2605","21329"
"2901","2903","2918","2605","21393.90"
"2901","2903","2918","2605","21340"
"2901","2903","2918","2605","F0472"
"2901","2903","2918","2605","F0473"
"2901","2903","2918","2605","21330.90"
"2901","2903","2918","2605","F0475"
"2901","2903","2918","2605","23991.02"
"2901","2903","2918","2605","23912.01"
"2901","2903","2919","2611","01323"
"2901","2903","2919","2611","21431.01"
"2901","2903","2919","2611","21431.02"
"2901","2903","2919","2611","01324"
"2901","2903","2919","2611","21439.01"
"2901","2903","2919","2612","01322"
"2901","2903","2919","2612","21439.02"
"2901","2903","2919","2612","21439.03"
"2901","2903","2919","2613","01321"
"2901","2903","2919","2613","21432"
"2901","2903","2919","2613","21432.01"
"2901","2903","2919","2614","01329"
"2901","2903","2919","2614","21439.04"
"2901","2903","2919","2614","21439.05"
"2901","2903","2919","2615","01312"
"2901","2903","2919","2616","01313"
"2901","2903","2919","2617","01341"
"2901","2903","2919","2617","21435.01"
"2901","2903","2919","2617","21435.02"
"2901","2903","2919","2618","01318"
"2901","2903","2919","2618","21491"
"2901","2903","2919","2618","21433"
"2901","2903","2919","2618","21433.01"
"2901","2903","2919","2619","01314"
"2901","2903","2919","2620","01330"
"2901","2903","2919","2620","21411"
"2901","2903","2919","2620","21434"
"2901","2903","2919","2620","24212.01"
"2901","2903","2919","2625","01342.01"
"2901","2903","2919","2625","01342.02"
"2901","2903","2919","2625","01343"
"2901","2903","2919","2625","21419.01"
"2901","2903","2919","2625","01344.01"
"2901","2903","2919","2625","01344.02"
"2901","2903","2919","2625","01345"
"2901","2903","2919","2625","01346"
"2901","2903","2919","2625","21412"
"2901","2903","2919","2625","21439.06"
"2901","2903","2919","2625","21439.07"
"2901","2903","2919","2625","01349.20"
"2901","2903","2919","2625","01349.10"
"2901","2903","2919","2625","01354"
"2901","2903","2919","2625","01353.01"
"2901","2903","2919","2625","01351.02"
"2901","2903","2919","2625","01351.01"
"2901","2903","2919","2625","01355.01"
"2901","2903","2919","2625","01355.02"
"2901","2903","2919","2625","01355.90"
"2901","2903","2918","2605","01221"
"2901","2903","2918","2605","01229"
