"measuredElementSuaFbs","timePointYears","geographicAreaM49","measuredItemFbsSua","Value","flagObservationStatus"
"5910","2014","894","S2511",81619.8677195937,"I"
"5520","2014","894","S2511",109.32938,"I"
"5141","2014","894","S2511",86988.5303735942,"I"
"5023","2014","894","S2511",11675.4444444444,"I"
"5610","2014","894","S2511",12607.423974403,"I"
"5165","2014","894","S2511",16287.765625,"I"
"5016","2014","894","S2511",4128.306223,"I"
"5510","2014","894","S2511",201504,"I"
"5525","2014","894","S2511",2181.005805,"I"
"5071","2014","894","S2511",11056.7783692479,"I"
"664","2014","894","S2511",42.2152815538518,"I"
"674","2014","894","S2511",1.33170193216775,"I"
"684","2014","894","S2511",0.202629555875814,"I"
"5166","2014","894","S2511",0,"I"
"261","2014","894","S2511",244924.19731094,"I"
"271","2014","894","S2511",7726.254919739,"I"
"281","2014","894","S2511",1175.614125919,"I"
"1061","2014","894","S2511",0.122754999770566,"I"
"1062","2014","894","S2511",0,"I"
"1063","2014","894","S2511",0.10451710652556,"I"
"1064","2014","894","S2511",8.46664444971002,"I"
"1068","2014","894","S2511",0.598196123275559,"I"
"1070","2014","894","S2511",2.87909648667694,"I"
"1071","2014","894","S2511",0.243634729336096,"I"
"1072","2014","894","S2511",6.01870682149952,"I"
"1073","2014","894","S2511",18.2809119622845,"I"
"1074","2014","894","S2511",22.9221613171201,"I"
"1075","2014","894","S2511",2.65815079210964,"I"
"1076","2014","894","S2511",0.15989719423344,"I"
"1078","2014","894","S2511",0.227594823955826,"I"
"1080","2014","894","S2511",0.010250172575973,"I"
"1081","2014","894","S2511",0.028948001160142,"I"
"1083","2014","894","S2511",0.0120996696747886,"I"
"1084","2014","894","S2511",0.00823195335332696,"I"
"1087","2014","894","S2511",0,"I"
"1089","2014","894","S2511",1.57157886041333,"I"
"5910","2014","894","S2513",19109.1456614154,"I"
"5141","2014","894","S2513",64350.3986173492,"I"
"5023","2014","894","S2513",951.820317019556,"I"
"5610","2014","894","S2513",12573.8136119655,"I"
"5016","2014","894","S2513",654.718554,"I"
"5510","2014","894","S2513",78000,"I"
"5525","2014","894","S2513",688.671585,"I"
"5071","2014","894","S2513",4750.4574941858,"I"
"664","2014","894","S2513",31.6693284414413,"I"
"674","2014","894","S2513",0.913708915817494,"I"
"684","2014","894","S2513",0.159677286259368,"I"
"5166","2014","894","S2513",0,"I"
"261","2014","894","S2513",183738.792266537,"I"
"271","2014","894","S2513",5301.14722785806,"I"
"281","2014","894","S2513",926.414078654806,"I"
"1061","2014","894","S2513",0.0887096034774266,"I"
"1062","2014","894","S2513",0,"I"
"1063","2014","894","S2513",0.124193444868397,"I"
"1064","2014","894","S2513",6.31612376759278,"I"
"1068","2014","894","S2513",0.629838184689729,"I"
"1070","2014","894","S2513",3.28225532866479,"I"
"1071","2014","894","S2513",0.416935136343905,"I"
"1072","2014","894","S2513",8.60483153731038,"I"
"1073","2014","894","S2513",26.8790098536603,"I"
"1074","2014","894","S2513",19.8709511789436,"I"
"1075","2014","894","S2513",0.975805638251693,"I"
"1076","2014","894","S2513",0.182741783163499,"I"
"1078","2014","894","S2513",0.500322163612686,"I"
"1080","2014","894","S2513",0.00887096034774267,"I"
"1081","2014","894","S2513",0.0274999770780023,"I"
"1083","2014","894","S2513",0.177419206954853,"I"
"1084","2014","894","S2513",0.0887096034774266,"I"
"1087","2014","894","S2513",0.0887096034774266,"I"
"1089","2014","894","S2513",0.727418748514898,"I"
"5910","2014","894","S2514",95852.5680534368,"I"
"5520","2014","894","S2514",245630,"I"
"5141","2014","894","S2514",2150841.50247701,"I"
"5023","2014","894","S2514",85309.224337075,"I"
"5610","2014","894","S2514",3679.80487482153,"I"
"5165","2014","894","S2514",104061.357283387,"I"
"5016","2014","894","S2514",100586.32896,"I"
"5510","2014","894","S2514",3350671,"I"
"5525","2014","894","S2514",40000,"I"
"5071","2014","894","S2514",530173.986219,"I"
"664","2014","894","S2514",1138.51920988525,"I"
"674","2014","894","S2514",23.5444482497516,"I"
"684","2014","894","S2514",9.67580065058284,"I"
"5166","2014","894","S2514",0,"I"
"261","2014","894","S2514",6605449.33825715,"I"
"271","2014","894","S2514",136599.943822315,"I"
"281","2014","894","S2514",56136.96321465,"I"
"1061","2014","894","S2514",3.22526688352761,"I"
"1062","2014","894","S2514",0,"I"
"1063","2014","894","S2514",3.22526688352761,"I"
"1064","2014","894","S2514",229.961528795519,"I"
"1068","2014","894","S2514",18.7065479244602,"I"
"1070","2014","894","S2514",41.928469485859,"I"
"1071","2014","894","S2514",6.12800707870247,"I"
"1072","2014","894","S2514",228.993948730461,"I"
"1073","2014","894","S2514",538.619569549111,"I"
"1074","2014","894","S2514",683.756579307854,"I"
"1075","2014","894","S2514",38.7032026023314,"I"
"1076","2014","894","S2514",4.12834161091535,"I"
"1078","2014","894","S2514",5.12817434480891,"I"
"1080","2014","894","S2514",0.258021350682209,"I"
"1081","2014","894","S2514",0.774064052046627,"I"
"1083","2014","894","S2514",35.4779357188037,"I"
"1084","2014","894","S2514",19.3516013011657,"I"
"1087","2014","894","S2514",0,"I"
"1089","2014","894","S2514",37.4130958489203,"I"
"5910","2014","894","S2515",0,"I"
"5520","2014","894","S2515",1.73712,"I"
"5141","2014","894","S2515",0,"I"
"5610","2014","894","S2515",1.73712,"I"
"5071","2014","894","S2515",0,"I"
"664","2014","894","S2515",0,"I"
"674","2014","894","S2515",0,"I"
"684","2014","894","S2515",0,"I"
"5166","2014","894","S2515",0,"I"
"261","2014","894","S2515",0,"I"
"271","2014","894","S2515",0,"I"
"281","2014","894","S2515",0,"I"
"1061","2014","894","S2515",0,"I"
"1062","2014","894","S2515",0,"I"
"1063","2014","894","S2515",0,"I"
"1064","2014","894","S2515",0,"I"
"1068","2014","894","S2515",0,"I"
"1070","2014","894","S2515",0,"I"
"1071","2014","894","S2515",0,"I"
"1072","2014","894","S2515",0,"I"
"1073","2014","894","S2515",0,"I"
"1074","2014","894","S2515",0,"I"
"1075","2014","894","S2515",0,"I"
"1076","2014","894","S2515",0,"I"
"1078","2014","894","S2515",0,"I"
"1080","2014","894","S2515",0,"I"
"1081","2014","894","S2515",0,"I"
"1083","2014","894","S2515",0,"I"
"1084","2014","894","S2515",0,"I"
"1087","2014","894","S2515",0,"I"
"1089","2014","894","S2515",0,"I"
"5910","2014","894","S2516",0.48,"I"
"5520","2014","894","S2516",17.5718,"I"
"5141","2014","894","S2516",733.359671537374,"I"
"5610","2014","894","S2516",751.411471537374,"I"
"5071","2014","894","S2516",0,"I"
"664","2014","894","S2516",0.265355455167093,"I"
"674","2014","894","S2516",0.00970116717815177,"I"
"684","2014","894","S2516",0.00506457992388806,"I"
"5166","2014","894","S2516",-0.728985647748914,"I"
"261","2014","894","S2516",1539.5366196,"I"
"271","2014","894","S2516",56.28413448,"I"
"281","2014","894","S2516",29.38362903,"I"
"1061","2014","894","S2516",0.000713321116040572,"I"
"1062","2014","894","S2516",0,"I"
"1063","2014","894","S2516",0.00121264589726897,"I"
"1064","2014","894","S2516",0.0417292852883734,"I"
"1068","2014","894","S2516",0.00684788271398949,"I"
"1070","2014","894","S2516",0.0370926980341097,"I"
"1071","2014","894","S2516",0.0029959486873704,"I"
"1072","2014","894","S2516",0.0955850295494366,"I"
"1073","2014","894","S2516",0.278908556371863,"I"
"1074","2014","894","S2516",0.2496623906142,"I"
"1075","2014","894","S2516",0.00356660558020286,"I"
"1076","2014","894","S2516",0.00213283013696131,"I"
"1078","2014","894","S2516",0.0013767097539583,"I"
"1080","2014","894","S2516",7.13321116040572e-05,"I"
"1081","2014","894","S2516",0.000385193402661909,"I"
"1083","2014","894","S2516",0,"I"
"1084","2014","894","S2516",0,"I"
"1087","2014","894","S2516",0,"I"
"1089","2014","894","S2516",0.00670521849078137,"I"
"5910","2014","894","S2517",0.8,"I"
"5520","2014","894","S2517",2873.861728,"I"
"5141","2014","894","S2517",9881.31775602568,"I"
"5023","2014","894","S2517",14887.2778345704,"I"
"5610","2014","894","S2517",6.69653,"I"
"5016","2014","894","S2517",2349.08893,"I"
"5510","2014","894","S2517",30504,"I"
"5525","2014","894","S2517",504.351818,"I"
"5071","2014","894","S2517",0,"I"
"664","2014","894","S2517",5.6959326246552,"I"
"674","2014","894","S2517",0.152107291681133,"I"
"684","2014","894","S2517",0.0614901817434369,"I"
"5166","2014","894","S2517",0,"I"
"261","2014","894","S2517",33046.6048,"I"
"271","2014","894","S2517",882.49456,"I"
"281","2014","894","S2517",356.75312,"I"
"1061","2014","894","S2517",0.0161816267745886,"I"
"1062","2014","894","S2517",0,"I"
"1063","2014","894","S2517",0.0307450908717184,"I"
"1064","2014","894","S2517",1.06151471641301,"I"
"1068","2014","894","S2517",0.139161990261462,"I"
"1070","2014","894","S2517",1.32689339551627,"I"
"1071","2014","894","S2517",0.0453085549688482,"I"
"1072","2014","894","S2517",1.81234219875393,"I"
"1073","2014","894","S2517",4.28813109526599,"I"
"1074","2014","894","S2517",5.2752103285159,"I"
"1075","2014","894","S2517",0.0809081338729432,"I"
"1076","2014","894","S2517",0.0433667597558976,"I"
"1078","2014","894","S2517",0.052752103285159,"I"
"1080","2014","894","S2517",0.00161816267745886,"I"
"1081","2014","894","S2517",0.00517812056786837,"I"
"1083","2014","894","S2517",0,"I"
"1084","2014","894","S2517",0,"I"
"1087","2014","894","S2517",0.0161816267745886,"I"
"1089","2014","894","S2517",0.173143406488099,"I"
"5910","2014","894","S2518",6.127367,"I"
"5520","2014","894","S2518",437.804947,"I"
"5141","2014","894","S2518",7033.16493000737,"I"
"5023","2014","894","S2518",2884.47060915172,"I"
"5610","2014","894","S2518",970.927247,"I"
"5016","2014","894","S2518",1858.030447,"I"
"5510","2014","894","S2518",11557,"I"
"5525","2014","894","S2518",300.327713,"I"
"5071","2014","894","S2518",0,"I"
"664","2014","894","S2518",4.00808903807312,"I"
"674","2014","894","S2518",0.11171972318767,"I"
"684","2014","894","S2518",0.0299454928131899,"I"
"5166","2014","894","S2518",0,"I"
"261","2014","894","S2518",23254.0908,"I"
"271","2014","894","S2518",648.17437,"I"
"281","2014","894","S2518",173.73746,"I"
"1061","2014","894","S2518",0.0115174972358423,"I"
"1062","2014","894","S2518",0,"I"
"1063","2014","894","S2518",0.0138209966830107,"I"
"1064","2014","894","S2518",0.779734562866523,"I"
"1068","2014","894","S2518",0.0840777298216487,"I"
"1070","2014","894","S2518",0.138209966830107,"I"
"1071","2014","894","S2518",0.0368559911546953,"I"
"1072","2014","894","S2518",1.04809224846165,"I"
"1073","2014","894","S2518",2.67205935871541,"I"
"1074","2014","894","S2518",3.24793422050753,"I"
"1075","2014","894","S2518",0.0345524917075269,"I"
"1076","2014","894","S2518",0.0169307209366882,"I"
"1078","2014","894","S2518",0.0322489922603584,"I"
"1080","2014","894","S2518",0.00080622480650896,"I"
"1081","2014","894","S2518",0.00230349944716846,"I"
"1083","2014","894","S2518",0,"I"
"1084","2014","894","S2518",0,"I"
"1087","2014","894","S2518",0,"I"
"1089","2014","894","S2518",0.133602967935771,"I"
"5910","2014","894","S2520",9562.03265,"I"
"5520","2014","894","S2520",0.90258,"I"
"5141","2014","894","S2520",164.380385,"I"
"5610","2014","894","S2520",76.49883,"I"
"5510","2014","894","S2520",9500,"I"
"5071","2014","894","S2520",88.699465,"I"
"664","2014","894","S2520",0.104545518928406,"I"
"674","2014","894","S2520",0.00243717532363794,"I"
"684","2014","894","S2520",0.000482146821421263,"I"
"5166","2014","894","S2520",-239.693684627181,"I"
"261","2014","894","S2520",606.55114365,"I"
"271","2014","894","S2520",14.13997936,"I"
"281","2014","894","S2520",2.797314595,"I"
