"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5510","23110","2021",195317.83,"I","c"
"894","5510","23110","2020",179562.5,"I","c"
"894","5510","23110","2019",127440.8,"I","c"
"894","5510","23110","2018",123764.65,"I","c"
"894","5510","23110","2017",192076.25,"I","c"
"894","5510","23110","2016",147706.57,"I","c"
"894","5510","23110","2015",222186.21,"I","c"
"894","5510","23110","2014",140934.32,"I","c"
"894","5510","23110","2013",175688.81,"I","c"
"894","5510","23110","2012",202475.27,"I","c"
"894","5510","23110","2011",183194.79,"I","c"
"894","5510","23110","2010",140579.73,"I","c"
"894","5610","23110","2022",397.94678,"","s"
"894","5610","23110","2021",16.705268,"","s"
"894","5610","23110","2020",875.263,"","s"
"894","5610","23110","2019",34.425,"","s"
"894","5610","23110","2018",10676.02008,"","s"
"894","5610","23110","2017",2181.45063,"","s"
"894","5610","23110","2016",117.599,"","p"
"894","5610","23110","2015",12339.953675,"","s"
"894","5610","23110","2014",1984.84777,"","s"
"894","5610","23110","2013",63,"","-"
"894","5610","23110","2012",19352,"","-"
"894","5610","23110","2011",224,"","-"
"894","5610","23110","2010",115,"T","-"
"894","5910","23110","2022",54.93179,"","s"
"894","5910","23110","2021",140.88,"","s"
"894","5910","23110","2020",241.005,"","s"
"894","5910","23110","2019",66.5,"","s"
"894","5910","23110","2018",49.35,"","s"
"894","5910","23110","2017",2756.8964,"","s"
"894","5910","23110","2016",10899,"T","p"
"894","5910","23110","2015",18673.965,"","s"
"894","5910","23110","2014",52615.493864,"","s"
"894","5910","23110","2013",55071,"","-"
"894","5910","23110","2012",49834,"","-"
"894","5910","23110","2011",45073,"","-"
"894","5910","23110","2010",43705,"","-"
"894","5023","23110","2022",50691.318992,"E","-"
"894","5023","23110","2021",49155.218416,"E","-"
"894","5023","23110","2020",32574.702825,"E","i"
"894","5023","23110","2019",23039.489595,"E","i"
"894","5023","23110","2018",24300.820707,"E","i"
"894","5023","23110","2017",34597.72566,"E","i"
"894","5023","23110","2016",24784.335689,"E","i"
"894","5023","23110","2015",39024.226344,"E","i"
"894","5023","23110","2014",22700.119474,"E","-"
"894","5023","23110","2013",35000,"E","-"
"894","5023","23110","2012",29500,"E","-"
"894","5023","23110","2011",18500,"E","-"
"894","5023","23110","2010",3500,"E","-"
"894","5141","23110","2022",138439.255998,"E","h"
"894","5141","23110","2021",146038.436852,"E","h"
"894","5141","23110","2020",147622.055175,"E","h"
"894","5141","23110","2019",104369.235405,"E","h"
"894","5141","23110","2018",110090.499373,"E","h"
"894","5141","23110","2017",156903.07857,"E","h"
"894","5141","23110","2016",112140.833311,"E","h"
"894","5141","23110","2015",176827.972331,"E","h"
"894","5141","23110","2014",67603.554432,"E","h"
"894","5141","23110","2013",85680.81,"E","h"
"894","5141","23110","2012",142493.27,"E","h"
"894","5141","23110","2011",119845.79,"E","h"
"894","5141","23110","2010",93489.73,"E","h"
"894","261","23110","2022",477615.433194,"T","i"
"894","261","23110","2021",503832.607138,"T","i"
"894","261","23110","2020",509296.090355,"T","i"
"894","261","23110","2019",360073.862147,"T","i"
"894","261","23110","2018",379812.222837,"T","i"
"894","261","23110","2017",541315.621067,"T","i"
"894","261","23110","2016",386885.874923,"T","i"
"894","261","23110","2015",610056.504542,"T","i"
"894","261","23110","2014",233232.26279,"T","i"
"894","261","23110","2013",295598.7945,"T","i"
"894","261","23110","2012",491601.7815,"T","i"
"894","261","23110","2011",413467.9755,"T","i"
"894","261","23110","2010",322539.5685,"T","i"
"894","271","23110","2022",15089.878904,"T","i"
"894","271","23110","2021",15918.189617,"T","i"
"894","271","23110","2020",16090.804014,"T","i"
"894","271","23110","2019",11376.246659,"T","i"
"894","271","23110","2018",11999.864432,"T","i"
"894","271","23110","2017",17102.435564,"T","i"
"894","271","23110","2016",12223.350831,"T","i"
"894","271","23110","2015",19274.248984,"T","i"
"894","271","23110","2014",7368.787433,"T","i"
"894","271","23110","2013",9339.20829,"T","i"
"894","271","23110","2012",15531.76643,"T","i"
"894","271","23110","2011",13063.19111,"T","i"
"894","271","23110","2010",10190.38057,"T","i"
"894","281","23110","2022",2215.028096,"T","i"
"894","281","23110","2021",2336.61499,"T","i"
"894","281","23110","2020",2361.952883,"T","i"
"894","281","23110","2019",1669.907766,"T","i"
"894","281","23110","2018",1761.44799,"T","i"
"894","281","23110","2017",2510.449257,"T","i"
"894","281","23110","2016",1794.253333,"T","i"
"894","281","23110","2015",2829.247557,"T","i"
