"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","684","S2511","2022",NA,NA,NA
"894","684","S2511","2021",NA,NA,NA
"894","684","S2511","2020",NA,NA,NA
"894","684","S2511","2019",NA,NA,NA
"894","684","S2511","2018",NA,NA,NA
"894","684","S2511","2017",NA,NA,NA
"894","684","S2511","2016",NA,NA,NA
"894","684","S2511","2015",NA,NA,NA
"894","684","S2511","2014",NA,NA,NA
"894","5165","S2511","2022",NA,NA,NA
"894","5165","S2511","2021",NA,NA,NA
"894","5165","S2511","2020",NA,NA,NA
"894","5165","S2511","2019",NA,NA,NA
"894","5165","S2511","2018",NA,NA,NA
"894","5165","S2511","2017",NA,NA,NA
"894","5165","S2511","2016",NA,NA,NA
"894","5165","S2511","2015",NA,NA,NA
"894","5165","S2511","2014",NA,NA,NA
"894","5166","S2511","2022",NA,NA,NA
"894","5166","S2511","2021",NA,NA,NA
"894","5166","S2511","2020",NA,NA,NA
"894","5166","S2511","2019",NA,NA,NA
"894","5166","S2511","2018",NA,NA,NA
"894","5166","S2511","2017",NA,NA,NA
"894","5166","S2511","2016",NA,NA,NA
"894","5166","S2511","2015",NA,NA,NA
"894","5166","S2511","2014",NA,NA,NA
"894","665","S2511","2022",NA,NA,NA
"894","665","S2511","2021",NA,NA,NA
"894","665","S2511","2020",NA,NA,NA
"894","665","S2511","2019",NA,NA,NA
"894","665","S2511","2018",NA,NA,NA
"894","665","S2511","2017",NA,NA,NA
"894","665","S2511","2016",NA,NA,NA
"894","665","S2511","2015",NA,NA,NA
"894","665","S2511","2014",NA,NA,NA
"894","5510","S2513","2022",NA,NA,NA
"894","5510","S2513","2021",NA,NA,NA
"894","5510","S2513","2020",NA,NA,NA
"894","5510","S2513","2019",NA,NA,NA
"894","5510","S2513","2018",NA,NA,NA
"894","5510","S2513","2017",NA,NA,NA
"894","5510","S2513","2016",NA,NA,NA
"894","5510","S2513","2015",NA,NA,NA
"894","5510","S2513","2014",NA,NA,NA
"894","5610","S2513","2022",NA,NA,NA
"894","5610","S2513","2021",NA,NA,NA
"894","5610","S2513","2020",NA,NA,NA
"894","5610","S2513","2019",NA,NA,NA
"894","5610","S2513","2018",NA,NA,NA
"894","5610","S2513","2017",NA,NA,NA
"894","5610","S2513","2016",NA,NA,NA
"894","5610","S2513","2015",NA,NA,NA
"894","5610","S2513","2014",NA,NA,NA
"894","5071","S2513","2022",NA,NA,NA
"894","5071","S2513","2021",NA,NA,NA
"894","5071","S2513","2020",NA,NA,NA
"894","5071","S2513","2019",NA,NA,NA
"894","5071","S2513","2018",NA,NA,NA
"894","5071","S2513","2017",NA,NA,NA
"894","5071","S2513","2016",NA,NA,NA
"894","5071","S2513","2015",NA,NA,NA
"894","5071","S2513","2014",NA,NA,NA
"894","5910","S2513","2022",NA,NA,NA
"894","5910","S2513","2021",NA,NA,NA
"894","5910","S2513","2020",NA,NA,NA
"894","5910","S2513","2018",NA,NA,NA
"894","5910","S2513","2017",NA,NA,NA
"894","5910","S2513","2016",NA,NA,NA
"894","5910","S2513","2015",NA,NA,NA
"894","5910","S2513","2014",NA,NA,NA
"894","5525","S2513","2022",NA,NA,NA
"894","5525","S2513","2021",NA,NA,NA
"894","5525","S2513","2020",NA,NA,NA
"894","5525","S2513","2019",NA,NA,NA
"894","5525","S2513","2018",NA,NA,NA
"894","5525","S2513","2017",NA,NA,NA
"894","5525","S2513","2016",NA,NA,NA
"894","5525","S2513","2015",NA,NA,NA
"894","5525","S2513","2014",NA,NA,NA
"894","5016","S2513","2022",NA,NA,NA
"894","5016","S2513","2021",NA,NA,NA
"894","5016","S2513","2020",NA,NA,NA
"894","5016","S2513","2019",NA,NA,NA
"894","5016","S2513","2018",NA,NA,NA
"894","5016","S2513","2017",NA,NA,NA
"894","5016","S2513","2016",NA,NA,NA
"894","5016","S2513","2015",NA,NA,NA
"894","5016","S2513","2014",NA,NA,NA
"894","5023","S2513","2022",NA,NA,NA
"894","5023","S2513","2021",NA,NA,NA
"894","5023","S2513","2020",NA,NA,NA
"894","5023","S2513","2019",NA,NA,NA
"894","5023","S2513","2018",NA,NA,NA
"894","5023","S2513","2017",NA,NA,NA
"894","5023","S2513","2016",NA,NA,NA
"894","5023","S2513","2015",NA,NA,NA
"894","5023","S2513","2014",NA,NA,NA
"894","5141","S2513","2022",NA,NA,NA
"894","5141","S2513","2021",NA,NA,NA
"894","5141","S2513","2020",NA,NA,NA
"894","5141","S2513","2019",NA,NA,NA
"894","5141","S2513","2018",NA,NA,NA
"894","5141","S2513","2017",NA,NA,NA
"894","5141","S2513","2016",NA,NA,NA
"894","5141","S2513","2015",NA,NA,NA
"894","5141","S2513","2014",NA,NA,NA
"894","261","S2513","2022",NA,NA,NA
"894","261","S2513","2021",NA,NA,NA
"894","261","S2513","2020",NA,NA,NA
"894","261","S2513","2019",NA,NA,NA
"894","261","S2513","2018",NA,NA,NA
"894","261","S2513","2017",NA,NA,NA
"894","261","S2513","2016",NA,NA,NA
"894","261","S2513","2015",NA,NA,NA
"894","261","S2513","2014",NA,NA,NA
"894","271","S2513","2022",NA,NA,NA
"894","271","S2513","2021",NA,NA,NA
"894","271","S2513","2020",NA,NA,NA
"894","271","S2513","2019",NA,NA,NA
"894","271","S2513","2018",NA,NA,NA
"894","271","S2513","2017",NA,NA,NA
"894","271","S2513","2016",NA,NA,NA
"894","271","S2513","2015",NA,NA,NA
"894","271","S2513","2014",NA,NA,NA
"894","281","S2513","2022",NA,NA,NA
"894","281","S2513","2021",NA,NA,NA
"894","281","S2513","2020",NA,NA,NA
"894","281","S2513","2019",NA,NA,NA
"894","281","S2513","2018",NA,NA,NA
"894","281","S2513","2017",NA,NA,NA
"894","281","S2513","2016",NA,NA,NA
"894","281","S2513","2015",NA,NA,NA
"894","281","S2513","2014",NA,NA,NA
"894","664","S2513","2022",NA,NA,NA
"894","664","S2513","2021",NA,NA,NA
"894","664","S2513","2020",NA,NA,NA
"894","664","S2513","2019",NA,NA,NA
"894","664","S2513","2018",NA,NA,NA
"894","664","S2513","2017",NA,NA,NA
"894","664","S2513","2016",NA,NA,NA
"894","664","S2513","2015",NA,NA,NA
"894","664","S2513","2014",NA,NA,NA
"894","674","S2513","2022",NA,NA,NA
"894","674","S2513","2021",NA,NA,NA
"894","674","S2513","2020",NA,NA,NA
"894","674","S2513","2019",NA,NA,NA
"894","674","S2513","2018",NA,NA,NA
"894","674","S2513","2017",NA,NA,NA
"894","674","S2513","2016",NA,NA,NA
"894","674","S2513","2015",NA,NA,NA
"894","674","S2513","2014",NA,NA,NA
"894","684","S2513","2022",NA,NA,NA
"894","684","S2513","2021",NA,NA,NA
"894","684","S2513","2020",NA,NA,NA
"894","684","S2513","2019",NA,NA,NA
"894","684","S2513","2018",NA,NA,NA
"894","684","S2513","2017",NA,NA,NA
"894","684","S2513","2016",NA,NA,NA
"894","684","S2513","2015",NA,NA,NA
"894","684","S2513","2014",NA,NA,NA
"894","5166","S2513","2022",NA,NA,NA
"894","5166","S2513","2021",NA,NA,NA
"894","5166","S2513","2020",NA,NA,NA
"894","5166","S2513","2019",NA,NA,NA
"894","5166","S2513","2018",NA,NA,NA
"894","5166","S2513","2017",NA,NA,NA
"894","5166","S2513","2016",NA,NA,NA
"894","5166","S2513","2015",NA,NA,NA
"894","5166","S2513","2014",NA,NA,NA
"894","665","S2513","2022",NA,NA,NA
"894","665","S2513","2021",NA,NA,NA
"894","665","S2513","2020",NA,NA,NA
"894","665","S2513","2019",NA,NA,NA
"894","665","S2513","2018",NA,NA,NA
"894","665","S2513","2017",NA,NA,NA
"894","665","S2513","2016",NA,NA,NA
"894","665","S2513","2015",NA,NA,NA
"894","665","S2513","2014",NA,NA,NA
"894","5510","S2514","2022",NA,NA,NA
"894","5510","S2514","2021",NA,NA,NA
"894","5510","S2514","2020",NA,NA,NA
"894","5510","S2514","2019",NA,NA,NA
